Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
CG4318,TF,CG4318-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,7776,ENCSR059YLP,ENCODE bams
CG4328,TF,CG4328-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,2704,ENCSR459CZO,ENCODE bams
CG43347,TF,CG9817,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,4766,ENCSR792RAL,ENCODE bams
CG4360,TF,CG4360-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/02/2022,6198,ENCSR175GEL,E0-24
CG43689,TF,CG43689-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2022,2088,ENCSR781HCW,E8-24
CG44002,TF,CG34406-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,7493,ENCSR582OWB,ENCODE bams
CG4404,TF,CG4404-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,06/07/2021,3892,ENCSR423OOM,E0-4
CG4424,TF,CG4424-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,5169,ENCSR291ZDB,ENCODE bams
CG4496,TF,CG4496-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,03/02/2022,12734,ENCSR509KUN,
CG4617,TF,CG4617-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,4536,ENCSR672VJL,ENCODE bams
CG4707,TF,CG4707-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3513,ENCSR302AQS,ENCODE bams
CG4730,TF,CG4730-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,3571,ENCSR012VVW,E0-24
CG4820,TF,CG4820-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,3902,ENCSR655FTR,ENCODE bams
CG4854,TF,CG4854-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3796,ENCSR860FUA,ENCODE bams
CG4936,TF,CG4936-GFP,embryonic,,ab290,,site-specific recombination,28/02/2023,7755,,E0-24
CG5180,TF,CG5180-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,5309,ENCSR530BVF,ENCODE bams
CG5245,TF,CG5245-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,3523,ENCSR961TSV,ENCODE bams
CG5953,TF,CG5953-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,28/03/2022,3305,ENCSR496WIW,0-24
CG6163,TF,CG6163-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,14/01/2022,12445,ENCSR967QYJ,
CG6175,TF co-regulator,CG6175-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,10/08/2021,3694,ENCSR987LDU,E0-24
CG6254,TF,CG6254-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,2714,ENCSR233UXG,ENCODE bams
CG6272,TF,CG6272-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,23/10/2020,3598,ENCSR911IFG,E0-24
CG6276,TF,CG6276-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,8036,ENCSR255PHG,ENCODE bams
CG6654,TF,CG6654-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,2130,ENCSR132XDY,ENCODE bams
CG6683,TF,CG6683-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,19/09/2017,3725,ENCSR519DDL,ENCODE bams
CG6689,TF,CG6689-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,6455,ENCSR910QGB,E0-24
